CollectionName,CollectionTitle,CollectionType,WidgetId,WidgetTitle,WidgetName,WidgetPosition,WidgetInventoryType,PageName,PageId,PageTitle,SolrQuery,CreatedAt,UpdatedAt
search_collection_pharmadel,,dynamic,3db3fd93-74c2-48e2-a4cb-0184c728b9c7,URL_BANNERS_VOUCHER,URL_BANNERS_VOUCHER,4,hb,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,"d=3&fl=is_local_merchant,option_cities,voucher_merchant_user_id,merchant_name,m_cover_pic,m_locality,option_text,min_coupon_amount,latlon,redemption_option_id,voucher_count,merchant_rating,logo_url,country,magicpay_usable_balance_percent,primary_subcategory,category,cost_for_two,max_percent_off_without_groupbuy_city_map,max_voucher_usable_percent_city_map,voucher_app_shadowed_map_list,menuPrice,coupon_amount,is_hidden,is_groupbuy_active,group_reward,option_id,redemption_option_amount_id,avg_spent,source,last_redemption_time&fq=is_parent_merchant:false&fq=voucher_merchant_user_id:(NOT(7599574 OR 1012996 OR 7910935 OR 3147405 OR 3147006 OR 6487425 OR 6168691 OR 7317693 OR 191455))&fq=is_app_shadowed:0&fq=country:India&fq=collection_tags:*pharmadel*&fq={!bbox}&indent=true&pt=[[LAT]],[[LON]]&q=*:*&rows=100&sfield=latlon&sort=geodist()+asc&wt=json",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_magicordernewcollection1,,static,98bd6a04-9a1b-429e-9b5a-af1267223a2b,Save 90% up to ₹200 ! Use Code REPUSER90,commerce_magicordernewcollection1,5,feed_top_type_banner,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_oneclicknewuser70,,static,4f656aff-78ab-4ed0-ac97-0070ed0beac2,1-Click to Get 90% OFF on Your First Home Delivery,commerce_oneclicknewuser70,6,ts,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_oneclicknewuser70,,static,bb2543d9-8d5f-4dda-992e-d6f76da97314,1-Click to Get 90% OFF on Your First Home Delivery,commerce_oneclicknewuser70,7,one_click_widget,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_delivery_feedbanner_1,,static,27e812de-66de-454e-b809-8ad35b8d0bdc,New User FT 70% OFF,commerce_delivery_feedbanner_1,9,feed_top_type_banner,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_orderagain,,dynamic,799fc32c-b138-42a9-9585-872a6f5ff08e,Order Again!,orderagain,10,hw,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,fq=accepting_delivery:true&fq=enable_order_booking:true&fq=magicpay_enabled:true&d=20&fq={!bbox},0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_favoritevouchers,,dynamic,798602a5-706f-4b47-928c-a2fc4027538a,Save Again!,Favorite Vouchers Generic,11,hw,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,"?fq={!bbox}&sfield=latlon&d=50&pt=[[LAT]],[[LON]]",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_oneclickrepeatuser,,static,c0c7ec5f-a516-44ca-9750-e4af34a7a1c9,Get it in 1-click!,commerce_oneclickrepeatuser,12,one_click_widget,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_oneclickrepeatuser,,static,fefe9da8-abe3-44a5-9d3f-ee66748a17c4,Get it in 1-click!,commerce_oneclickrepeatuser,13,ts,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_oneclicknew,,static,7adc1514-8b94-44a1-a16a-8da1f1dcf9ca,Make 1-Click order!!,commerce_oneclicknew,14,ts,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
